"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Não deve realizar login","","Sat Apr 18 09:45:59 UTC 2026","passed","Sat Apr 18 09:45:59 UTC 2026","","Login Inválido","",""
"","84","Deve encontrar o usuário Hora do QA","","Sat Apr 18 09:45:56 UTC 2026","passed","Sat Apr 18 09:45:56 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","333","Fluxo completo usuário","","Sat Apr 18 09:45:53 UTC 2026","passed","Sat Apr 18 09:45:53 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","380","Cadastra usuário, loga, cria produto e deleta produto","","Sat Apr 18 09:45:45 UTC 2026","passed","Sat Apr 18 09:45:46 UTC 2026","","Apagar Produto","",""
"","112","Deve criar um novo usuário","","Sat Apr 18 09:45:50 UTC 2026","passed","Sat Apr 18 09:45:50 UTC 2026","","Cadastrar usuário","",""
"","75","Deve listar todos os usuários","","Sat Apr 18 09:45:57 UTC 2026","passed","Sat Apr 18 09:45:58 UTC 2026","","Deve listar todos os usuários","",""
"","85","Deve realizar login com sucesso","","Sat Apr 18 09:46:01 UTC 2026","passed","Sat Apr 18 09:46:01 UTC 2026","","Login","",""
"","494","Cadastra usuário, faz login e cadastra produto","","Sat Apr 18 09:45:43 UTC 2026","passed","Sat Apr 18 09:45:44 UTC 2026","","Cadastrar Produto","",""
"","5686","should return 200 OK when accessing serverest.dev","","Sat Apr 18 09:45:35 UTC 2026","passed","Sat Apr 18 09:45:41 UTC 2026","","HealthCheck","",""
"","219","Deve testar a API e, se estiver OK, realizar login","","Sat Apr 18 09:45:48 UTC 2026","passed","Sat Apr 18 09:45:48 UTC 2026","","Fluxo condicional de API - Serverest","",""
