"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","397","should return 200 OK when accessing serverest.dev","","2026-07-23","passed","2026-07-23","","HealthCheck","",""
"","113","Deve encontrar o usuário Hora do QA","","2026-07-23","passed","2026-07-23","","Deve listar todos os usuários Hora do QA","",""
"","107","Deve listar todos os usuários","","2026-07-23","passed","2026-07-23","","Deve listar todos os usuários","",""
"","107","Deve realizar login com sucesso","","2026-07-23","passed","2026-07-23","","Login","",""
"","281","Cadastra usuário, faz login e cadastra produto","","2026-07-23","passed","2026-07-23","","Cadastrar Produto","",""
"","112","Deve criar um novo usuário","","2026-07-23","passed","2026-07-23","","Cadastrar usuário","",""
"","362","Cadastra usuário, loga, cria produto e deleta produto","","2026-07-23","passed","2026-07-23","","Apagar Produto","",""
"","189","Deve testar a API e, se estiver OK, realizar login","","2026-07-23","passed","2026-07-23","","Fluxo condicional de API - Serverest","",""
"","99","Não deve realizar login","","2026-07-23","passed","2026-07-23","","Login Inválido","",""
"","353","Fluxo completo usuário","","2026-07-23","passed","2026-07-23","","Cadastro, Login, Atualização e Exclusão","",""
