"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","212","Cadastra usuário, faz login e cadastra produto","","2026-07-02","passed","2026-07-02","","Cadastrar Produto","",""
"","132","Deve testar a API e, se estiver OK, realizar login","","2026-07-02","passed","2026-07-02","","Fluxo condicional de API - Serverest","",""
"","75","Deve criar um novo usuário","","2026-07-02","passed","2026-07-02","","Cadastrar usuário","",""
"","73","Não deve realizar login","","2026-07-02","passed","2026-07-02","","Login Inválido","",""
"","268","Cadastra usuário, loga, cria produto e deleta produto","","2026-07-02","passed","2026-07-02","","Apagar Produto","",""
"","85","Deve realizar login com sucesso","","2026-07-02","passed","2026-07-02","","Login","",""
"","83","Deve encontrar o usuário Hora do QA","","2026-07-02","passed","2026-07-02","","Deve listar todos os usuários Hora do QA","",""
"","87","Deve listar todos os usuários","","2026-07-02","passed","2026-07-02","","Deve listar todos os usuários","",""
"","252","Fluxo completo usuário","","2026-07-02","passed","2026-07-02","","Cadastro, Login, Atualização e Exclusão","",""
"","203","should return 200 OK when accessing serverest.dev","","2026-07-02","passed","2026-07-02","","HealthCheck","",""
