"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","Deve testar a API e, se estiver OK, realizar login","","Sun May 17 10:21:45 UTC 2026","passed","Sun May 17 10:21:45 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","90","Deve encontrar o usuário Hora do QA","","Sun May 17 10:21:51 UTC 2026","passed","Sun May 17 10:21:51 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","1210","should return 200 OK when accessing serverest.dev","","Sun May 17 10:21:38 UTC 2026","passed","Sun May 17 10:21:39 UTC 2026","","HealthCheck","",""
"","76","Deve listar todos os usuários","","Sun May 17 10:21:53 UTC 2026","passed","Sun May 17 10:21:53 UTC 2026","","Deve listar todos os usuários","",""
"","278","Cadastra usuário, loga, cria produto e deleta produto","","Sun May 17 10:21:43 UTC 2026","passed","Sun May 17 10:21:43 UTC 2026","","Apagar Produto","",""
"","78","Deve criar um novo usuário","","Sun May 17 10:21:47 UTC 2026","passed","Sun May 17 10:21:47 UTC 2026","","Cadastrar usuário","",""
"","283","Fluxo completo usuário","","Sun May 17 10:21:49 UTC 2026","passed","Sun May 17 10:21:49 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","77","Deve realizar login com sucesso","","Sun May 17 10:21:57 UTC 2026","passed","Sun May 17 10:21:57 UTC 2026","","Login","",""
"","247","Cadastra usuário, faz login e cadastra produto","","Sun May 17 10:21:41 UTC 2026","passed","Sun May 17 10:21:41 UTC 2026","","Cadastrar Produto","",""
"","77","Não deve realizar login","","Sun May 17 10:21:55 UTC 2026","passed","Sun May 17 10:21:55 UTC 2026","","Login Inválido","",""
