"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","633","Cadastra usuário, faz login e cadastra produto","","Fri Feb 20 09:38:58 UTC 2026","passed","Fri Feb 20 09:38:58 UTC 2026","","Cadastrar Produto","",""
"","79","Deve listar todos os usuários","","Fri Feb 20 09:39:10 UTC 2026","passed","Fri Feb 20 09:39:10 UTC 2026","","Deve listar todos os usuários","",""
"","82","Deve realizar login com sucesso","","Fri Feb 20 09:39:13 UTC 2026","passed","Fri Feb 20 09:39:14 UTC 2026","","Login","",""
"","374","should return 200 OK when accessing serverest.dev","","Fri Feb 20 09:38:56 UTC 2026","passed","Fri Feb 20 09:38:56 UTC 2026","","HealthCheck","",""
"","301","Fluxo completo usuário","","Fri Feb 20 09:39:06 UTC 2026","passed","Fri Feb 20 09:39:07 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","110","Deve criar um novo usuário","","Fri Feb 20 09:39:04 UTC 2026","passed","Fri Feb 20 09:39:04 UTC 2026","","Cadastrar usuário","",""
"","335","Cadastra usuário, loga, cria produto e deleta produto","","Fri Feb 20 09:39:00 UTC 2026","passed","Fri Feb 20 09:39:00 UTC 2026","","Apagar Produto","",""
"","164","Deve testar a API e, se estiver OK, realizar login","","Fri Feb 20 09:39:02 UTC 2026","passed","Fri Feb 20 09:39:02 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","94","Deve encontrar o usuário Hora do QA","","Fri Feb 20 09:39:08 UTC 2026","passed","Fri Feb 20 09:39:08 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","80","Não deve realizar login","","Fri Feb 20 09:39:12 UTC 2026","passed","Fri Feb 20 09:39:12 UTC 2026","","Login Inválido","",""
