"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","449","should return 200 OK when accessing serverest.dev","","Mon Feb 16 09:52:55 UTC 2026","passed","Mon Feb 16 09:52:55 UTC 2026","","HealthCheck","",""
"","411","Fluxo completo usuário","","Mon Feb 16 09:53:05 UTC 2026","passed","Mon Feb 16 09:53:06 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","108","Deve listar todos os usuários","","Mon Feb 16 09:53:10 UTC 2026","passed","Mon Feb 16 09:53:10 UTC 2026","","Deve listar todos os usuários","",""
"","111","Não deve realizar login","","Mon Feb 16 09:53:12 UTC 2026","passed","Mon Feb 16 09:53:12 UTC 2026","","Login Inválido","",""
"","197","Deve testar a API e, se estiver OK, realizar login","","Mon Feb 16 09:53:01 UTC 2026","passed","Mon Feb 16 09:53:01 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","107","Deve realizar login com sucesso","","Mon Feb 16 09:53:13 UTC 2026","passed","Mon Feb 16 09:53:14 UTC 2026","","Login","",""
"","115","Deve criar um novo usuário","","Mon Feb 16 09:53:03 UTC 2026","passed","Mon Feb 16 09:53:03 UTC 2026","","Cadastrar usuário","",""
"","466","Cadastra usuário, loga, cria produto e deleta produto","","Mon Feb 16 09:52:59 UTC 2026","passed","Mon Feb 16 09:53:00 UTC 2026","","Apagar Produto","",""
"","111","Deve encontrar o usuário Hora do QA","","Mon Feb 16 09:53:08 UTC 2026","passed","Mon Feb 16 09:53:08 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","341","Cadastra usuário, faz login e cadastra produto","","Mon Feb 16 09:52:57 UTC 2026","passed","Mon Feb 16 09:52:57 UTC 2026","","Cadastrar Produto","",""
