"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","Fluxo completo usuário","","2026-09-09","passed","2026-09-09","","Cadastro, Login, Atualização e Exclusão","",""
"","360","Cadastra usuário, loga, cria produto e deleta produto","","2026-09-09","passed","2026-09-09","","Apagar Produto","",""
"","277","Cadastra usuário, faz login e cadastra produto","","2026-09-09","passed","2026-09-09","","Cadastrar Produto","",""
"","109","Deve realizar login com sucesso","","2026-09-09","passed","2026-09-09","","Login","",""
"","95","Não deve realizar login","","2026-09-09","passed","2026-09-09","","Login Inválido","",""
"","136","Deve encontrar o usuário Hora do QA","","2026-09-09","passed","2026-09-09","","Deve listar todos os usuários Hora do QA","",""
"","154","Deve listar todos os usuários","","2026-09-09","passed","2026-09-09","","Deve listar todos os usuários","",""
"","105","Deve criar um novo usuário","","2026-09-09","passed","2026-09-09","","Cadastrar usuário","",""
"","187","Deve testar a API e, se estiver OK, realizar login","","2026-09-09","passed","2026-09-09","","Fluxo condicional de API - Serverest","",""
"","317","should return 200 OK when accessing serverest.dev","","2026-09-09","passed","2026-09-09","","HealthCheck","",""
