"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","3","Usuário","0","0","Login","0"
"0","","1","Produto","0","0","Excluir de produto","0"
"0","","1","API","0","0","Healthcheck","0"
"0","","1","Usuário","0","0","Fluxo Completo","0"
"0","","1","Usuário","0","0","Listagem","0"
"0","","1","Usuário","0","0","Cadastro","0"
"0","","1","Produto","0","0","Cadastro de produto","0"
"0","","1","","0","0","","0"
