"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","486","Cadastra usuário, loga, cria produto e deleta produto","","2026-08-23","passed","2026-08-23","","Apagar Produto","",""
"","340","Fluxo completo usuário","","2026-08-23","passed","2026-08-23","","Cadastro, Login, Atualização e Exclusão","",""
"","108","Não deve realizar login","","2026-08-23","passed","2026-08-23","","Login Inválido","",""
"","266","Cadastra usuário, faz login e cadastra produto","","2026-08-23","passed","2026-08-23","","Cadastrar Produto","",""
"","102","Deve realizar login com sucesso","","2026-08-23","passed","2026-08-23","","Login","",""
"","275","should return 200 OK when accessing serverest.dev","","2026-08-23","passed","2026-08-23","","HealthCheck","",""
"","94","Deve criar um novo usuário","","2026-08-23","passed","2026-08-23","","Cadastrar usuário","",""
"","107","Deve encontrar o usuário Hora do QA","","2026-08-23","passed","2026-08-23","","Deve listar todos os usuários Hora do QA","",""
"","95","Deve listar todos os usuários","","2026-08-23","passed","2026-08-23","","Deve listar todos os usuários","",""
"","180","Deve testar a API e, se estiver OK, realizar login","","2026-08-23","passed","2026-08-23","","Fluxo condicional de API - Serverest","",""
