"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","Deve realizar login com sucesso","","Fri May 08 10:24:12 UTC 2026","passed","Fri May 08 10:24:12 UTC 2026","","Login","",""
"","231","Deve testar a API e, se estiver OK, realizar login","","Fri May 08 10:24:01 UTC 2026","passed","Fri May 08 10:24:01 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","68","Deve listar todos os usuários","","Fri May 08 10:24:09 UTC 2026","passed","Fri May 08 10:24:09 UTC 2026","","Deve listar todos os usuários","",""
"","209","Fluxo completo usuário","","Fri May 08 10:24:04 UTC 2026","passed","Fri May 08 10:24:05 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","226","Cadastra usuário, loga, cria produto e deleta produto","","Fri May 08 10:23:59 UTC 2026","passed","Fri May 08 10:23:59 UTC 2026","","Apagar Produto","",""
"","300","should return 200 OK when accessing serverest.dev","","Fri May 08 10:23:55 UTC 2026","passed","Fri May 08 10:23:55 UTC 2026","","HealthCheck","",""
"","64","Não deve realizar login","","Fri May 08 10:24:10 UTC 2026","passed","Fri May 08 10:24:10 UTC 2026","","Login Inválido","",""
"","171","Cadastra usuário, faz login e cadastra produto","","Fri May 08 10:23:57 UTC 2026","passed","Fri May 08 10:23:57 UTC 2026","","Cadastrar Produto","",""
"","69","Deve criar um novo usuário","","Fri May 08 10:24:03 UTC 2026","passed","Fri May 08 10:24:03 UTC 2026","","Cadastrar usuário","",""
"","76","Deve encontrar o usuário Hora do QA","","Fri May 08 10:24:06 UTC 2026","passed","Fri May 08 10:24:06 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
