"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","Deve testar a API e, se estiver OK, realizar login","","Sat Jan 31 09:27:08 UTC 2026","passed","Sat Jan 31 09:27:08 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","95","Deve realizar login com sucesso","","Sat Jan 31 09:27:19 UTC 2026","passed","Sat Jan 31 09:27:19 UTC 2026","","Login","",""
"","370","Fluxo completo usuário","","Sat Jan 31 09:27:12 UTC 2026","passed","Sat Jan 31 09:27:12 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","105","Deve criar um novo usuário","","Sat Jan 31 09:27:10 UTC 2026","passed","Sat Jan 31 09:27:10 UTC 2026","","Cadastrar usuário","",""
"","98","Não deve realizar login","","Sat Jan 31 09:27:17 UTC 2026","passed","Sat Jan 31 09:27:17 UTC 2026","","Login Inválido","",""
"","296","Cadastra usuário, faz login e cadastra produto","","Sat Jan 31 09:27:03 UTC 2026","passed","Sat Jan 31 09:27:03 UTC 2026","","Cadastrar Produto","",""
"","100","Deve listar todos os usuários","","Sat Jan 31 09:27:16 UTC 2026","passed","Sat Jan 31 09:27:16 UTC 2026","","Deve listar todos os usuários","",""
"","102","Deve encontrar o usuário Hora do QA","","Sat Jan 31 09:27:14 UTC 2026","passed","Sat Jan 31 09:27:14 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","290","should return 200 OK when accessing serverest.dev","","Sat Jan 31 09:27:01 UTC 2026","passed","Sat Jan 31 09:27:01 UTC 2026","","HealthCheck","",""
"","457","Cadastra usuário, loga, cria produto e deleta produto","","Sat Jan 31 09:27:05 UTC 2026","passed","Sat Jan 31 09:27:06 UTC 2026","","Apagar Produto","",""
