"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","should return 200 OK when accessing serverest.dev","","2026-09-05","passed","2026-09-05","","HealthCheck","",""
"","196","Cadastra usuário, faz login e cadastra produto","","2026-09-05","passed","2026-09-05","","Cadastrar Produto","",""
"","206","Deve listar todos os usuários","","2026-09-05","passed","2026-09-05","","Deve listar todos os usuários","",""
"","202","Deve testar a API e, se estiver OK, realizar login","","2026-09-05","passed","2026-09-05","","Fluxo condicional de API - Serverest","",""
"","301","Cadastra usuário, loga, cria produto e deleta produto","","2026-09-05","passed","2026-09-05","","Apagar Produto","",""
"","170","Deve encontrar o usuário Hora do QA","","2026-09-05","passed","2026-09-05","","Deve listar todos os usuários Hora do QA","",""
"","79","Não deve realizar login","","2026-09-05","passed","2026-09-05","","Login Inválido","",""
"","67","Deve criar um novo usuário","","2026-09-05","passed","2026-09-05","","Cadastrar usuário","",""
"","82","Deve realizar login com sucesso","","2026-09-05","passed","2026-09-05","","Login","",""
"","236","Fluxo completo usuário","","2026-09-05","passed","2026-09-05","","Cadastro, Login, Atualização e Exclusão","",""
