"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","Cadastra usuário, faz login e cadastra produto","","2026-06-18","passed","2026-06-18","","Cadastrar Produto","",""
"","85","Deve encontrar o usuário Hora do QA","","2026-06-18","passed","2026-06-18","","Deve listar todos os usuários Hora do QA","",""
"","249","Deve testar a API e, se estiver OK, realizar login","","2026-06-18","passed","2026-06-18","","Fluxo condicional de API - Serverest","",""
"","92","Deve realizar login com sucesso","","2026-06-18","passed","2026-06-18","","Login","",""
"","293","Cadastra usuário, loga, cria produto e deleta produto","","2026-06-18","passed","2026-06-18","","Apagar Produto","",""
"","226","should return 200 OK when accessing serverest.dev","","2026-06-18","passed","2026-06-18","","HealthCheck","",""
"","103","Deve criar um novo usuário","","2026-06-18","passed","2026-06-18","","Cadastrar usuário","",""
"","90","Não deve realizar login","","2026-06-18","passed","2026-06-18","","Login Inválido","",""
"","72","Deve listar todos os usuários","","2026-06-18","passed","2026-06-18","","Deve listar todos os usuários","",""
"","414","Fluxo completo usuário","","2026-06-18","passed","2026-06-18","","Cadastro, Login, Atualização e Exclusão","",""
