"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","232","Cadastra usuário, loga, cria produto e deleta produto","","2026-09-17","passed","2026-09-17","","Apagar Produto","",""
"","189","Cadastra usuário, faz login e cadastra produto","","2026-09-17","passed","2026-09-17","","Cadastrar Produto","",""
"","62","Deve realizar login com sucesso","","2026-09-17","passed","2026-09-17","","Login","",""
"","64","Deve criar um novo usuário","","2026-09-17","passed","2026-09-17","","Cadastrar usuário","",""
"","74","Deve listar todos os usuários","","2026-09-17","passed","2026-09-17","","Deve listar todos os usuários","",""
"","171","Deve testar a API e, se estiver OK, realizar login","","2026-09-17","passed","2026-09-17","","Fluxo condicional de API - Serverest","",""
"","264","should return 200 OK when accessing serverest.dev","","2026-09-17","passed","2026-09-17","","HealthCheck","",""
"","300","Fluxo completo usuário","","2026-09-17","passed","2026-09-17","","Cadastro, Login, Atualização e Exclusão","",""
"","75","Deve encontrar o usuário Hora do QA","","2026-09-17","passed","2026-09-17","","Deve listar todos os usuários Hora do QA","",""
"","64","Não deve realizar login","","2026-09-17","passed","2026-09-17","","Login Inválido","",""
