"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","354","should return 200 OK when accessing serverest.dev","","Mon Apr 06 10:07:59 UTC 2026","passed","Mon Apr 06 10:07:59 UTC 2026","","HealthCheck","",""
"","79","Deve realizar login com sucesso","","Mon Apr 06 10:08:17 UTC 2026","passed","Mon Apr 06 10:08:17 UTC 2026","","Login","",""
"","81","Não deve realizar login","","Mon Apr 06 10:08:15 UTC 2026","passed","Mon Apr 06 10:08:15 UTC 2026","","Login Inválido","",""
"","89","Deve criar um novo usuário","","Mon Apr 06 10:08:08 UTC 2026","passed","Mon Apr 06 10:08:08 UTC 2026","","Cadastrar usuário","",""
"","93","Deve encontrar o usuário Hora do QA","","Mon Apr 06 10:08:12 UTC 2026","passed","Mon Apr 06 10:08:12 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","83","Deve listar todos os usuários","","Mon Apr 06 10:08:13 UTC 2026","passed","Mon Apr 06 10:08:14 UTC 2026","","Deve listar todos os usuários","",""
"","127","Deve testar a API e, se estiver OK, realizar login","","Mon Apr 06 10:08:05 UTC 2026","passed","Mon Apr 06 10:08:06 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","281","Cadastra usuário, loga, cria produto e deleta produto","","Mon Apr 06 10:08:03 UTC 2026","passed","Mon Apr 06 10:08:03 UTC 2026","","Apagar Produto","",""
"","281","Fluxo completo usuário","","Mon Apr 06 10:08:10 UTC 2026","passed","Mon Apr 06 10:08:10 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","200","Cadastra usuário, faz login e cadastra produto","","Mon Apr 06 10:08:01 UTC 2026","passed","Mon Apr 06 10:08:01 UTC 2026","","Cadastrar Produto","",""
