"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","Deve criar um novo usuário","","2026-08-24","passed","2026-08-24","","Cadastrar usuário","",""
"","123","Deve testar a API e, se estiver OK, realizar login","","2026-08-24","passed","2026-08-24","","Fluxo condicional de API - Serverest","",""
"","238","Fluxo completo usuário","","2026-08-24","passed","2026-08-24","","Cadastro, Login, Atualização e Exclusão","",""
"","72","Deve realizar login com sucesso","","2026-08-24","passed","2026-08-24","","Login","",""
"","313","Cadastra usuário, loga, cria produto e deleta produto","","2026-08-24","passed","2026-08-24","","Apagar Produto","",""
"","290","should return 200 OK when accessing serverest.dev","","2026-08-24","passed","2026-08-24","","HealthCheck","",""
"","79","Não deve realizar login","","2026-08-24","passed","2026-08-24","","Login Inválido","",""
"","183","Cadastra usuário, faz login e cadastra produto","","2026-08-24","passed","2026-08-24","","Cadastrar Produto","",""
"","72","Deve listar todos os usuários","","2026-08-24","passed","2026-08-24","","Deve listar todos os usuários","",""
"","72","Deve encontrar o usuário Hora do QA","","2026-08-24","passed","2026-08-24","","Deve listar todos os usuários Hora do QA","",""
