"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Deve encontrar o usuário Hora do QA","","Fri May 15 11:20:37 UTC 2026","passed","Fri May 15 11:20:37 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","80","Deve listar todos os usuários","","Fri May 15 11:20:39 UTC 2026","passed","Fri May 15 11:20:39 UTC 2026","","Deve listar todos os usuários","",""
"","73","Deve criar um novo usuário","","Fri May 15 11:20:33 UTC 2026","passed","Fri May 15 11:20:33 UTC 2026","","Cadastrar usuário","",""
"","76","Não deve realizar login","","Fri May 15 11:20:41 UTC 2026","passed","Fri May 15 11:20:41 UTC 2026","","Login Inválido","",""
"","90","should return 200 OK when accessing serverest.dev","","Fri May 15 11:20:29 UTC 2026","passed","Fri May 15 11:20:29 UTC 2026","","HealthCheck","",""
"","80","Deve realizar login com sucesso","","Fri May 15 11:20:42 UTC 2026","passed","Fri May 15 11:20:42 UTC 2026","","Login","",""
"","270","Cadastra usuário, loga, cria produto e deleta produto","","Fri May 15 11:20:27 UTC 2026","passed","Fri May 15 11:20:28 UTC 2026","","Apagar Produto","",""
"","445","Cadastra usuário, faz login e cadastra produto","","Fri May 15 11:20:25 UTC 2026","passed","Fri May 15 11:20:26 UTC 2026","","Cadastrar Produto","",""
"","127","Deve testar a API e, se estiver OK, realizar login","","Fri May 15 11:20:31 UTC 2026","passed","Fri May 15 11:20:31 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","255","Fluxo completo usuário","","Fri May 15 11:20:35 UTC 2026","passed","Fri May 15 11:20:35 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
