"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9782","should return 200 OK when accessing serverest.dev","","2026-05-30","passed","2026-05-30","","HealthCheck","",""
"","8796","Deve encontrar o usuário Hora do QA","","2026-05-30","failed","2026-05-30","","Deve listar todos os usuários Hora do QA","",""
"","10170","Deve testar a API e, se estiver OK, realizar login","","2026-05-30","passed","2026-05-30","","Fluxo condicional de API - Serverest","",""
"","9354","Fluxo completo usuário","","2026-05-30","failed","2026-05-30","","Cadastro, Login, Atualização e Exclusão","",""
"","8343","Deve listar todos os usuários","","2026-05-30","passed","2026-05-30","","Deve listar todos os usuários","",""
"","9139","Deve criar um novo usuário","","2026-05-30","passed","2026-05-30","","Cadastrar usuário","",""
"","8727","Deve realizar login com sucesso","","2026-05-30","failed","2026-05-30","","Login","",""
"","7878","Não deve realizar login","","2026-05-30","passed","2026-05-30","","Login Inválido","",""
"","9700","Cadastra usuário, loga, cria produto e deleta produto","","2026-05-30","failed","2026-05-30","","Apagar Produto","",""
"","614","Cadastra usuário, faz login e cadastra produto","","2026-05-30","passed","2026-05-30","","Cadastrar Produto","",""
