"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","Deve listar todos os usuários","","Thu Dec 11 09:25:18 UTC 2025","passed","Thu Dec 11 09:25:18 UTC 2025","","Deve listar todos os usuários","",""
"","68","Não deve realizar login","","Thu Dec 11 09:25:19 UTC 2025","passed","Thu Dec 11 09:25:20 UTC 2025","","Login Inválido","",""
"","223","Fluxo completo usuário","","Thu Dec 11 09:25:14 UTC 2025","passed","Thu Dec 11 09:25:14 UTC 2025","","Cadastro, Login, Atualização e Exclusão","",""
"","210","Cadastra usuário, loga, cria produto e deleta produto","","Thu Dec 11 09:25:10 UTC 2025","passed","Thu Dec 11 09:25:10 UTC 2025","","Apagar Produto","",""
"","171","Cadastra usuário, faz login e cadastra produto","","Thu Dec 11 09:25:08 UTC 2025","passed","Thu Dec 11 09:25:08 UTC 2025","","Cadastrar Produto","",""
"","153","should return 200 OK when accessing serverest.dev","","Thu Dec 11 09:25:06 UTC 2025","passed","Thu Dec 11 09:25:06 UTC 2025","","HealthCheck","",""
"","68","Deve criar um novo usuário","","Thu Dec 11 09:25:12 UTC 2025","passed","Thu Dec 11 09:25:12 UTC 2025","","Cadastrar usuário","",""
"","72","Deve encontrar o usuário Hora do QA","","Thu Dec 11 09:25:16 UTC 2025","passed","Thu Dec 11 09:25:16 UTC 2025","","Deve listar todos os usuários Hora do QA","",""
"","68","Deve realizar login com sucesso","","Thu Dec 11 09:25:21 UTC 2025","passed","Thu Dec 11 09:25:21 UTC 2025","","Login","",""
