"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","Fluxo completo usuário","","2026-05-29","passed","2026-05-29","","Cadastro, Login, Atualização e Exclusão","",""
"","246","should return 200 OK when accessing serverest.dev","","2026-05-29","passed","2026-05-29","","HealthCheck","",""
"","125","Deve listar todos os usuários","","2026-05-29","passed","2026-05-29","","Deve listar todos os usuários","",""
"","227","Cadastra usuário, loga, cria produto e deleta produto","","2026-05-29","passed","2026-05-29","","Apagar Produto","",""
"","78","Deve realizar login com sucesso","","2026-05-29","passed","2026-05-29","","Login","",""
"","187","Cadastra usuário, faz login e cadastra produto","","2026-05-29","passed","2026-05-29","","Cadastrar Produto","",""
"","82","Deve encontrar o usuário Hora do QA","","2026-05-29","passed","2026-05-29","","Deve listar todos os usuários Hora do QA","",""
"","65","Não deve realizar login","","2026-05-29","passed","2026-05-29","","Login Inválido","",""
"","86","Deve criar um novo usuário","","2026-05-29","passed","2026-05-29","","Cadastrar usuário","",""
"","223","Deve testar a API e, se estiver OK, realizar login","","2026-05-29","passed","2026-05-29","","Fluxo condicional de API - Serverest","",""
