"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","Cadastra usuário, faz login e cadastra produto","","2026-08-12","passed","2026-08-12","","Cadastrar Produto","",""
"","77","Deve listar todos os usuários","","2026-08-12","passed","2026-08-12","","Deve listar todos os usuários","",""
"","77","Deve encontrar o usuário Hora do QA","","2026-08-12","passed","2026-08-12","","Deve listar todos os usuários Hora do QA","",""
"","135","Deve testar a API e, se estiver OK, realizar login","","2026-08-12","passed","2026-08-12","","Fluxo condicional de API - Serverest","",""
"","91","Não deve realizar login","","2026-08-12","passed","2026-08-12","","Login Inválido","",""
"","276","Fluxo completo usuário","","2026-08-12","passed","2026-08-12","","Cadastro, Login, Atualização e Exclusão","",""
"","73","Deve criar um novo usuário","","2026-08-12","passed","2026-08-12","","Cadastrar usuário","",""
"","266","Cadastra usuário, loga, cria produto e deleta produto","","2026-08-12","passed","2026-08-12","","Apagar Produto","",""
"","207","should return 200 OK when accessing serverest.dev","","2026-08-12","passed","2026-08-12","","HealthCheck","",""
"","85","Deve realizar login com sucesso","","2026-08-12","passed","2026-08-12","","Login","",""
