"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Cadastra usuário, faz login e cadastra produto","","Mon Dec 08 20:24:22 UTC 2025","passed","Mon Dec 08 20:24:22 UTC 2025","","Cenário 1 - Cadastrar Produto","",""
"","383","Cadastro → Login → Atualizar nome → Deletar usuário","","Mon Dec 08 20:24:26 UTC 2025","passed","Mon Dec 08 20:24:26 UTC 2025","","Cenário 3 - Cadastro, Login, Atualização e Exclusão","",""
"","407","Cadastra usuário, loga, cria produto e deleta produto","","Mon Dec 08 20:24:20 UTC 2025","passed","Mon Dec 08 20:24:20 UTC 2025","","Cenário 2 - Apagar Produto","",""
"","108","Deve criar um novo usuário","","Mon Dec 08 20:24:24 UTC 2025","passed","Mon Dec 08 20:24:24 UTC 2025","","Cenário 1 - Cadastrar usuário","",""
"","269","should return 200 OK when accessing serverest.dev","","Mon Dec 08 20:24:18 UTC 2025","passed","Mon Dec 08 20:24:18 UTC 2025","","Cenário 1 - HealthCheck","",""
"","110","Deve realizar login com sucesso","","Mon Dec 08 20:24:28 UTC 2025","passed","Mon Dec 08 20:24:28 UTC 2025","","Cenário 2 - Login","",""
