"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Deve criar um novo usuário","","Wed Apr 15 10:16:03 UTC 2026","passed","Wed Apr 15 10:16:03 UTC 2026","","Cadastrar usuário","",""
"","177","Deve testar a API e, se estiver OK, realizar login","","Wed Apr 15 10:16:01 UTC 2026","passed","Wed Apr 15 10:16:01 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","76","Deve encontrar o usuário Hora do QA","","Wed Apr 15 10:16:07 UTC 2026","passed","Wed Apr 15 10:16:07 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","672","Cadastra usuário, faz login e cadastra produto","","Wed Apr 15 10:15:56 UTC 2026","passed","Wed Apr 15 10:15:57 UTC 2026","","Cadastrar Produto","",""
"","65","Deve listar todos os usuários","","Wed Apr 15 10:16:09 UTC 2026","passed","Wed Apr 15 10:16:09 UTC 2026","","Deve listar todos os usuários","",""
"","9633","should return 200 OK when accessing serverest.dev","","Wed Apr 15 10:15:44 UTC 2026","passed","Wed Apr 15 10:15:54 UTC 2026","","HealthCheck","",""
"","140","Não deve realizar login","","Wed Apr 15 10:16:11 UTC 2026","passed","Wed Apr 15 10:16:11 UTC 2026","","Login Inválido","",""
"","301","Cadastra usuário, loga, cria produto e deleta produto","","Wed Apr 15 10:15:58 UTC 2026","passed","Wed Apr 15 10:15:59 UTC 2026","","Apagar Produto","",""
"","243","Deve realizar login com sucesso","","Wed Apr 15 10:16:13 UTC 2026","passed","Wed Apr 15 10:16:13 UTC 2026","","Login","",""
"","255","Fluxo completo usuário","","Wed Apr 15 10:16:05 UTC 2026","passed","Wed Apr 15 10:16:05 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
