"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7818","Cadastra usuário, loga, cria produto e deleta produto","","Sun May 24 10:29:47 UTC 2026","passed","Sun May 24 10:29:55 UTC 2026","","Apagar Produto","",""
"","7843","Deve encontrar o usuário Hora do QA","","Sun May 24 10:30:18 UTC 2026","failed","Sun May 24 10:30:26 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","7409","Deve testar a API e, se estiver OK, realizar login","","Sun May 24 10:29:57 UTC 2026","passed","Sun May 24 10:30:04 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","8878","Fluxo completo usuário","","Sun May 24 10:30:08 UTC 2026","passed","Sun May 24 10:30:17 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","96","Deve criar um novo usuário","","Sun May 24 10:30:06 UTC 2026","passed","Sun May 24 10:30:06 UTC 2026","","Cadastrar usuário","",""
"","6592","Deve listar todos os usuários","","Sun May 24 10:30:28 UTC 2026","passed","Sun May 24 10:30:34 UTC 2026","","Deve listar todos os usuários","",""
"","8830","Cadastra usuário, faz login e cadastra produto","","Sun May 24 10:29:36 UTC 2026","passed","Sun May 24 10:29:45 UTC 2026","","Cadastrar Produto","",""
"","147","Deve realizar login com sucesso","","Sun May 24 10:30:47 UTC 2026","failed","Sun May 24 10:30:47 UTC 2026","","Login","",""
"","8259","should return 200 OK when accessing serverest.dev","","Sun May 24 10:29:26 UTC 2026","passed","Sun May 24 10:29:34 UTC 2026","","HealthCheck","",""
"","8684","Não deve realizar login","","Sun May 24 10:30:36 UTC 2026","passed","Sun May 24 10:30:45 UTC 2026","","Login Inválido","",""
