"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Não deve realizar login","","Thu Feb 05 09:43:01 UTC 2026","passed","Thu Feb 05 09:43:01 UTC 2026","","Login Inválido","",""
"","182","should return 200 OK when accessing serverest.dev","","Thu Feb 05 09:42:45 UTC 2026","passed","Thu Feb 05 09:42:45 UTC 2026","","HealthCheck","",""
"","194","Cadastra usuário, faz login e cadastra produto","","Thu Feb 05 09:42:47 UTC 2026","passed","Thu Feb 05 09:42:47 UTC 2026","","Cadastrar Produto","",""
"","67","Deve listar todos os usuários","","Thu Feb 05 09:42:59 UTC 2026","passed","Thu Feb 05 09:42:59 UTC 2026","","Deve listar todos os usuários","",""
"","76","Deve realizar login com sucesso","","Thu Feb 05 09:43:03 UTC 2026","passed","Thu Feb 05 09:43:03 UTC 2026","","Login","",""
"","123","Deve testar a API e, se estiver OK, realizar login","","Thu Feb 05 09:42:51 UTC 2026","passed","Thu Feb 05 09:42:51 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","223","Fluxo completo usuário","","Thu Feb 05 09:42:55 UTC 2026","passed","Thu Feb 05 09:42:55 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","232","Cadastra usuário, loga, cria produto e deleta produto","","Thu Feb 05 09:42:49 UTC 2026","passed","Thu Feb 05 09:42:49 UTC 2026","","Apagar Produto","",""
"","80","Deve encontrar o usuário Hora do QA","","Thu Feb 05 09:42:57 UTC 2026","passed","Thu Feb 05 09:42:57 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","67","Deve criar um novo usuário","","Thu Feb 05 09:42:53 UTC 2026","passed","Thu Feb 05 09:42:53 UTC 2026","","Cadastrar usuário","",""
