"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","should return 200 OK when accessing serverest.dev","","Wed Feb 11 09:54:01 UTC 2026","passed","Wed Feb 11 09:54:01 UTC 2026","","HealthCheck","",""
"","352","Cadastra usuário, loga, cria produto e deleta produto","","Wed Feb 11 09:54:05 UTC 2026","passed","Wed Feb 11 09:54:06 UTC 2026","","Apagar Produto","",""
"","101","Deve encontrar o usuário Hora do QA","","Wed Feb 11 09:54:13 UTC 2026","passed","Wed Feb 11 09:54:13 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","93","Não deve realizar login","","Wed Feb 11 09:54:17 UTC 2026","passed","Wed Feb 11 09:54:17 UTC 2026","","Login Inválido","",""
"","97","Deve realizar login com sucesso","","Wed Feb 11 09:54:19 UTC 2026","passed","Wed Feb 11 09:54:19 UTC 2026","","Login","",""
"","284","Cadastra usuário, faz login e cadastra produto","","Wed Feb 11 09:54:03 UTC 2026","passed","Wed Feb 11 09:54:04 UTC 2026","","Cadastrar Produto","",""
"","103","Deve listar todos os usuários","","Wed Feb 11 09:54:15 UTC 2026","passed","Wed Feb 11 09:54:15 UTC 2026","","Deve listar todos os usuários","",""
"","376","Fluxo completo usuário","","Wed Feb 11 09:54:11 UTC 2026","passed","Wed Feb 11 09:54:12 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","99","Deve criar um novo usuário","","Wed Feb 11 09:54:09 UTC 2026","passed","Wed Feb 11 09:54:09 UTC 2026","","Cadastrar usuário","",""
"","178","Deve testar a API e, se estiver OK, realizar login","","Wed Feb 11 09:54:07 UTC 2026","passed","Wed Feb 11 09:54:07 UTC 2026","","Fluxo condicional de API - Serverest","",""
