"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Não deve realizar login","","Thu May 28 12:25:28 UTC 2026","passed","Thu May 28 12:25:28 UTC 2026","","Login Inválido","",""
"","264","Cadastra usuário, loga, cria produto e deleta produto","","Thu May 28 12:25:17 UTC 2026","passed","Thu May 28 12:25:17 UTC 2026","","Apagar Produto","",""
"","96","Deve listar todos os usuários","","Thu May 28 12:25:26 UTC 2026","passed","Thu May 28 12:25:26 UTC 2026","","Deve listar todos os usuários","",""
"","75","Deve encontrar o usuário Hora do QA","","Thu May 28 12:25:24 UTC 2026","passed","Thu May 28 12:25:25 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","259","Fluxo completo usuário","","Thu May 28 12:25:22 UTC 2026","passed","Thu May 28 12:25:23 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","75","Deve realizar login com sucesso","","Thu May 28 12:25:30 UTC 2026","passed","Thu May 28 12:25:30 UTC 2026","","Login","",""
"","223","Cadastra usuário, faz login e cadastra produto","","Thu May 28 12:25:14 UTC 2026","passed","Thu May 28 12:25:15 UTC 2026","","Cadastrar Produto","",""
"","148","Deve testar a API e, se estiver OK, realizar login","","Thu May 28 12:25:19 UTC 2026","passed","Thu May 28 12:25:19 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","75","Deve criar um novo usuário","","Thu May 28 12:25:21 UTC 2026","passed","Thu May 28 12:25:21 UTC 2026","","Cadastrar usuário","",""
"","196","should return 200 OK when accessing serverest.dev","","Thu May 28 12:25:12 UTC 2026","passed","Thu May 28 12:25:12 UTC 2026","","HealthCheck","",""
