"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","643","Cadastra usuário, loga, cria produto e deleta produto","","Tue Dec 23 09:24:18 UTC 2025","passed","Tue Dec 23 09:24:19 UTC 2025","","Apagar Produto","",""
"","125","Cadastra usuário, faz login e cadastra produto","","Tue Dec 23 09:24:16 UTC 2025","passed","Tue Dec 23 09:24:16 UTC 2025","","Cadastrar Produto","",""
"","51","Deve listar todos os usuários","","Tue Dec 23 09:24:26 UTC 2025","passed","Tue Dec 23 09:24:26 UTC 2025","","Deve listar todos os usuários","",""
"","165","Fluxo completo usuário","","Tue Dec 23 09:24:23 UTC 2025","passed","Tue Dec 23 09:24:23 UTC 2025","","Cadastro, Login, Atualização e Exclusão","",""
"","50","Deve realizar login com sucesso","","Tue Dec 23 09:24:30 UTC 2025","passed","Tue Dec 23 09:24:30 UTC 2025","","Login","",""
"","52","Deve criar um novo usuário","","Tue Dec 23 09:24:20 UTC 2025","passed","Tue Dec 23 09:24:20 UTC 2025","","Cadastrar usuário","",""
"","53","Não deve realizar login","","Tue Dec 23 09:24:28 UTC 2025","passed","Tue Dec 23 09:24:28 UTC 2025","","Login Inválido","",""
"","285","should return 200 OK when accessing serverest.dev","","Tue Dec 23 09:24:14 UTC 2025","passed","Tue Dec 23 09:24:14 UTC 2025","","HealthCheck","",""
"","50","Deve encontrar o usuário Hora do QA","","Tue Dec 23 09:24:25 UTC 2025","passed","Tue Dec 23 09:24:25 UTC 2025","","Deve listar todos os usuários Hora do QA","",""
