"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Deve testar a API e, se estiver OK, realizar login","","2026-07-11","passed","2026-07-11","","Fluxo condicional de API - Serverest","",""
"","376","Cadastra usuário, loga, cria produto e deleta produto","","2026-07-11","passed","2026-07-11","","Apagar Produto","",""
"","103","Deve criar um novo usuário","","2026-07-11","passed","2026-07-11","","Cadastrar usuário","",""
"","98","Deve realizar login com sucesso","","2026-07-11","passed","2026-07-11","","Login","",""
"","99","Deve encontrar o usuário Hora do QA","","2026-07-11","passed","2026-07-11","","Deve listar todos os usuários Hora do QA","",""
"","97","Não deve realizar login","","2026-07-11","passed","2026-07-11","","Login Inválido","",""
"","348","Fluxo completo usuário","","2026-07-11","passed","2026-07-11","","Cadastro, Login, Atualização e Exclusão","",""
"","348","should return 200 OK when accessing serverest.dev","","2026-07-11","passed","2026-07-11","","HealthCheck","",""
"","100","Deve listar todos os usuários","","2026-07-11","passed","2026-07-11","","Deve listar todos os usuários","",""
"","277","Cadastra usuário, faz login e cadastra produto","","2026-07-11","passed","2026-07-11","","Cadastrar Produto","",""
