"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","237","should return 200 OK when accessing serverest.dev","","Sat Jan 24 09:20:14 UTC 2026","passed","Sat Jan 24 09:20:14 UTC 2026","","HealthCheck","",""
"","99","Deve listar todos os usuários","","Sat Jan 24 09:20:27 UTC 2026","passed","Sat Jan 24 09:20:27 UTC 2026","","Deve listar todos os usuários","",""
"","104","Não deve realizar login","","Sat Jan 24 09:20:29 UTC 2026","passed","Sat Jan 24 09:20:29 UTC 2026","","Login Inválido","",""
"","103","Deve criar um novo usuário","","Sat Jan 24 09:20:21 UTC 2026","passed","Sat Jan 24 09:20:21 UTC 2026","","Cadastrar usuário","",""
"","101","Deve encontrar o usuário Hora do QA","","Sat Jan 24 09:20:25 UTC 2026","passed","Sat Jan 24 09:20:25 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","359","Fluxo completo usuário","","Sat Jan 24 09:20:23 UTC 2026","passed","Sat Jan 24 09:20:23 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","103","Deve realizar login com sucesso","","Sat Jan 24 09:20:31 UTC 2026","passed","Sat Jan 24 09:20:31 UTC 2026","","Login","",""
"","363","Cadastra usuário, loga, cria produto e deleta produto","","Sat Jan 24 09:20:19 UTC 2026","passed","Sat Jan 24 09:20:19 UTC 2026","","Apagar Produto","",""
"","303","Cadastra usuário, faz login e cadastra produto","","Sat Jan 24 09:20:17 UTC 2026","passed","Sat Jan 24 09:20:17 UTC 2026","","Cadastrar Produto","",""
