"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","Fluxo completo usuário","","Tue Jan 27 09:31:33 UTC 2026","passed","Tue Jan 27 09:31:34 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","81","Deve criar um novo usuário","","Tue Jan 27 09:31:32 UTC 2026","passed","Tue Jan 27 09:31:32 UTC 2026","","Cadastrar usuário","",""
"","58","Deve realizar login com sucesso","","Tue Jan 27 09:31:41 UTC 2026","passed","Tue Jan 27 09:31:41 UTC 2026","","Login","",""
"","64","Deve listar todos os usuários","","Tue Jan 27 09:31:37 UTC 2026","passed","Tue Jan 27 09:31:37 UTC 2026","","Deve listar todos os usuários","",""
"","54","Não deve realizar login","","Tue Jan 27 09:31:39 UTC 2026","passed","Tue Jan 27 09:31:39 UTC 2026","","Login Inválido","",""
"","59","Deve encontrar o usuário Hora do QA","","Tue Jan 27 09:31:35 UTC 2026","passed","Tue Jan 27 09:31:35 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
"","197","Cadastra usuário, loga, cria produto e deleta produto","","Tue Jan 27 09:31:29 UTC 2026","passed","Tue Jan 27 09:31:29 UTC 2026","","Apagar Produto","",""
"","173","Cadastra usuário, faz login e cadastra produto","","Tue Jan 27 09:31:27 UTC 2026","passed","Tue Jan 27 09:31:27 UTC 2026","","Cadastrar Produto","",""
"","242","should return 200 OK when accessing serverest.dev","","Tue Jan 27 09:31:25 UTC 2026","passed","Tue Jan 27 09:31:25 UTC 2026","","HealthCheck","",""
