"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","Deve encontrar o usuário Hora do QA","","2026-08-15","passed","2026-08-15","","Deve listar todos os usuários Hora do QA","",""
"","111","Não deve realizar login","","2026-08-15","passed","2026-08-15","","Login Inválido","",""
"","174","Deve testar a API e, se estiver OK, realizar login","","2026-08-15","passed","2026-08-15","","Fluxo condicional de API - Serverest","",""
"","326","Cadastra usuário, loga, cria produto e deleta produto","","2026-08-15","passed","2026-08-15","","Apagar Produto","",""
"","102","Deve listar todos os usuários","","2026-08-15","passed","2026-08-15","","Deve listar todos os usuários","",""
"","319","should return 200 OK when accessing serverest.dev","","2026-08-15","passed","2026-08-15","","HealthCheck","",""
"","254","Cadastra usuário, faz login e cadastra produto","","2026-08-15","passed","2026-08-15","","Cadastrar Produto","",""
"","331","Fluxo completo usuário","","2026-08-15","passed","2026-08-15","","Cadastro, Login, Atualização e Exclusão","",""
"","95","Deve criar um novo usuário","","2026-08-15","passed","2026-08-15","","Cadastrar usuário","",""
"","91","Deve realizar login com sucesso","","2026-08-15","passed","2026-08-15","","Login","",""
