"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","Deve criar um novo usuário","","2026-08-04","passed","2026-08-04","","Cadastrar usuário","",""
"","71","Deve realizar login com sucesso","","2026-08-04","passed","2026-08-04","","Login","",""
"","237","Fluxo completo usuário","","2026-08-04","passed","2026-08-04","","Cadastro, Login, Atualização e Exclusão","",""
"","253","Cadastra usuário, loga, cria produto e deleta produto","","2026-08-04","passed","2026-08-04","","Apagar Produto","",""
"","162","Deve listar todos os usuários","","2026-08-04","passed","2026-08-04","","Deve listar todos os usuários","",""
"","90","Não deve realizar login","","2026-08-04","passed","2026-08-04","","Login Inválido","",""
"","145","Deve encontrar o usuário Hora do QA","","2026-08-04","passed","2026-08-04","","Deve listar todos os usuários Hora do QA","",""
"","253","should return 200 OK when accessing serverest.dev","","2026-08-04","passed","2026-08-04","","HealthCheck","",""
"","199","Deve testar a API e, se estiver OK, realizar login","","2026-08-04","passed","2026-08-04","","Fluxo condicional de API - Serverest","",""
"","201","Cadastra usuário, faz login e cadastra produto","","2026-08-04","passed","2026-08-04","","Cadastrar Produto","",""
