"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Deve criar um novo usuário","","2026-06-12","passed","2026-06-12","","Cadastrar usuário","",""
"","79","Não deve realizar login","","2026-06-12","passed","2026-06-12","","Login Inválido","",""
"","80","Deve encontrar o usuário Hora do QA","","2026-06-12","passed","2026-06-12","","Deve listar todos os usuários Hora do QA","",""
"","72","Deve realizar login com sucesso","","2026-06-12","passed","2026-06-12","","Login","",""
"","72","Deve listar todos os usuários","","2026-06-12","passed","2026-06-12","","Deve listar todos os usuários","",""
"","133","Deve testar a API e, se estiver OK, realizar login","","2026-06-12","passed","2026-06-12","","Fluxo condicional de API - Serverest","",""
"","201","Cadastra usuário, faz login e cadastra produto","","2026-06-12","passed","2026-06-12","","Cadastrar Produto","",""
"","261","Fluxo completo usuário","","2026-06-12","passed","2026-06-12","","Cadastro, Login, Atualização e Exclusão","",""
"","276","Cadastra usuário, loga, cria produto e deleta produto","","2026-06-12","passed","2026-06-12","","Apagar Produto","",""
"","174","should return 200 OK when accessing serverest.dev","","2026-06-12","passed","2026-06-12","","HealthCheck","",""
