"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Deve encontrar o usuário Hora do QA","","2026-06-16","passed","2026-06-16","","Deve listar todos os usuários Hora do QA","",""
"","70","Deve criar um novo usuário","","2026-06-16","passed","2026-06-16","","Cadastrar usuário","",""
"","318","Deve testar a API e, se estiver OK, realizar login","","2026-06-16","passed","2026-06-16","","Fluxo condicional de API - Serverest","",""
"","250","Cadastra usuário, loga, cria produto e deleta produto","","2026-06-16","passed","2026-06-16","","Apagar Produto","",""
"","69","Deve realizar login com sucesso","","2026-06-16","passed","2026-06-16","","Login","",""
"","70","Não deve realizar login","","2026-06-16","passed","2026-06-16","","Login Inválido","",""
"","68","Deve listar todos os usuários","","2026-06-16","passed","2026-06-16","","Deve listar todos os usuários","",""
"","273","Cadastra usuário, faz login e cadastra produto","","2026-06-16","passed","2026-06-16","","Cadastrar Produto","",""
"","729","should return 200 OK when accessing serverest.dev","","2026-06-16","passed","2026-06-16","","HealthCheck","",""
"","240","Fluxo completo usuário","","2026-06-16","passed","2026-06-16","","Cadastro, Login, Atualização e Exclusão","",""
