"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Deve encontrar o usuário Hora do QA","","Mon Dec 22 09:27:54 UTC 2025","passed","Mon Dec 22 09:27:54 UTC 2025","","Deve listar todos os usuários Hora do QA","",""
"","72","Não deve realizar login","","Mon Dec 22 09:27:57 UTC 2025","passed","Mon Dec 22 09:27:57 UTC 2025","","Login Inválido","",""
"","66","Deve listar todos os usuários","","Mon Dec 22 09:27:55 UTC 2025","passed","Mon Dec 22 09:27:55 UTC 2025","","Deve listar todos os usuários","",""
"","189","Cadastra usuário, faz login e cadastra produto","","Mon Dec 22 09:27:45 UTC 2025","passed","Mon Dec 22 09:27:45 UTC 2025","","Cadastrar Produto","",""
"","168","should return 200 OK when accessing serverest.dev","","Mon Dec 22 09:27:43 UTC 2025","passed","Mon Dec 22 09:27:43 UTC 2025","","HealthCheck","",""
"","230","Cadastra usuário, loga, cria produto e deleta produto","","Mon Dec 22 09:27:47 UTC 2025","passed","Mon Dec 22 09:27:47 UTC 2025","","Apagar Produto","",""
"","233","Fluxo completo usuário","","Mon Dec 22 09:27:51 UTC 2025","passed","Mon Dec 22 09:27:52 UTC 2025","","Cadastro, Login, Atualização e Exclusão","",""
"","69","Deve realizar login com sucesso","","Mon Dec 22 09:27:59 UTC 2025","passed","Mon Dec 22 09:27:59 UTC 2025","","Login","",""
"","70","Deve criar um novo usuário","","Mon Dec 22 09:27:50 UTC 2025","passed","Mon Dec 22 09:27:50 UTC 2025","","Cadastrar usuário","",""
